"Statistic Label","Month","State","UNIT","VALUE"
"Total Exports (Seasonally Adjusted)","1994 February","State","Euro Thousand","2306371"
"Total Exports (Seasonally Adjusted)","1994 March","State","Euro Thousand","2312872"
"Total Exports (Seasonally Adjusted)","1994 April","State","Euro Thousand","2318722"
"Total Exports (Seasonally Adjusted)","1994 May","State","Euro Thousand","2291635"
"Total Exports (Seasonally Adjusted)","1994 June","State","Euro Thousand","2344608"
"Total Exports (Seasonally Adjusted)","1994 July","State","Euro Thousand","2309140"
"Total Exports (Seasonally Adjusted)","1994 August","State","Euro Thousand","2409060"
"Total Exports (Seasonally Adjusted)","1994 September","State","Euro Thousand","2548660"
"Total Exports (Seasonally Adjusted)","1994 October","State","Euro Thousand","2500712"
"Total Exports (Seasonally Adjusted)","1994 November","State","Euro Thousand","2611073"
"Total Exports (Seasonally Adjusted)","1994 December","State","Euro Thousand","2704712"
"Total Exports (Seasonally Adjusted)","1995 January","State","Euro Thousand","2790466"
"Total Exports (Seasonally Adjusted)","1995 February","State","Euro Thousand","2665642"
"Total Exports (Seasonally Adjusted)","1995 March","State","Euro Thousand","2824144"
"Total Exports (Seasonally Adjusted)","1995 April","State","Euro Thousand","2823633"
"Total Exports (Seasonally Adjusted)","1995 May","State","Euro Thousand","2950977"
"Total Exports (Seasonally Adjusted)","1995 June","State","Euro Thousand","2738507"
"Total Exports (Seasonally Adjusted)","1995 July","State","Euro Thousand","2975649"
"Total Exports (Seasonally Adjusted)","1995 August","State","Euro Thousand","2945251"
"Total Exports (Seasonally Adjusted)","1995 September","State","Euro Thousand","3013116"
"Total Exports (Seasonally Adjusted)","1995 October","State","Euro Thousand","3277099"
"Total Exports (Seasonally Adjusted)","1995 November","State","Euro Thousand","3150352"
"Total Exports (Seasonally Adjusted)","1995 December","State","Euro Thousand","3219297"
"Total Exports (Seasonally Adjusted)","1996 January","State","Euro Thousand","3449050"
"Total Exports (Seasonally Adjusted)","1996 February","State","Euro Thousand","3314941"
"Total Exports (Seasonally Adjusted)","1996 March","State","Euro Thousand","3127664"
"Total Exports (Seasonally Adjusted)","1996 April","State","Euro Thousand","3036088"
"Total Exports (Seasonally Adjusted)","1996 May","State","Euro Thousand","3258242"
"Total Exports (Seasonally Adjusted)","1996 June","State","Euro Thousand","3236513"
"Total Exports (Seasonally Adjusted)","1996 July","State","Euro Thousand","3211456"
"Total Exports (Seasonally Adjusted)","1996 August","State","Euro Thousand","2891612"
"Total Exports (Seasonally Adjusted)","1996 September","State","Euro Thousand","3248476"
"Total Exports (Seasonally Adjusted)","1996 October","State","Euro Thousand","3233214"
"Total Exports (Seasonally Adjusted)","1996 November","State","Euro Thousand","3192336"
"Total Exports (Seasonally Adjusted)","1996 December","State","Euro Thousand","3334572"
"Total Exports (Seasonally Adjusted)","1997 January","State","Euro Thousand","3374968"
"Total Exports (Seasonally Adjusted)","1997 February","State","Euro Thousand","3280766"
"Total Exports (Seasonally Adjusted)","1997 March","State","Euro Thousand","3470769"
"Total Exports (Seasonally Adjusted)","1997 April","State","Euro Thousand","3578692"
"Total Exports (Seasonally Adjusted)","1997 May","State","Euro Thousand","3493937"
"Total Exports (Seasonally Adjusted)","1997 June","State","Euro Thousand","3880950"
"Total Exports (Seasonally Adjusted)","1997 July","State","Euro Thousand","3675548"
"Total Exports (Seasonally Adjusted)","1997 August","State","Euro Thousand","3851888"
